id,name,description,categories
150,Mashup_150,"A project management, travel, storage, and productivity mashup that combines multiple services to provide automated processes.","['Project Management', 'Travel', 'Storage', 'Productivity']"
151,Mashup_151,This mashup integrates analytics and advertising functionality for automated processes.,"['Analytics', 'Advertising']"
152,Mashup_152,Web application combining food and entertainment services to deliver streamlined workflows.,"['Food', 'Entertainment']"
153,Mashup_153,bookmark and security integration platform enabling streamlined workflows.,"['Bookmark', 'Security']"
154,Mashup_154,Mashup application that leverages sports APIs for streamlined workflows.,['Sports']
155,Mashup_155,A advertising mashup that combines multiple services to provide better data visualization.,['Advertising']
156,Mashup_156,This mashup integrates health functionality for automated processes.,['Health']
157,Mashup_157,Web application combining storage and food services to deliver better data visualization.,"['Storage', 'Food']"
158,Mashup_158,food integration platform enabling automated processes.,['Food']
159,Mashup_159,Mashup application that leverages books APIs for integrated data access.,['Books']
160,Mashup_160,A food mashup that combines multiple services to provide comprehensive functionality.,['Food']
161,Mashup_161,This mashup integrates education and storage functionality for enhanced user experience.,"['Education', 'Storage']"
162,Mashup_162,Web application combining shopping services to deliver streamlined workflows.,['Shopping']
163,Mashup_163,"food, storage, advertising, and sports integration platform enabling improved productivity.","['Food', 'Storage', 'Advertising', 'Sports']"
164,Mashup_164,"Mashup application that leverages storage, books, and search APIs for comprehensive functionality.","['Storage', 'Books', 'Search']"
165,Mashup_165,A sports mashup that combines multiple services to provide comprehensive functionality.,['Sports']
166,Mashup_166,This mashup integrates food functionality for enhanced user experience.,['Food']
167,Mashup_167,Web application combining storage and entertainment services to deliver real-time updates.,"['Storage', 'Entertainment']"
168,Mashup_168,storage integration platform enabling better data visualization.,['Storage']
169,Mashup_169,Mashup application that leverages food APIs for better data visualization.,['Food']
170,Mashup_170,"A storage, entertainment, tools, and legal mashup that combines multiple services to provide enhanced user experience.","['Storage', 'Entertainment', 'Tools', 'Legal']"
171,Mashup_171,This mashup integrates translation and storage functionality for automated processes.,"['Translation', 'Storage']"
172,Mashup_172,Web application combining science and storage services to deliver automated processes.,"['Science', 'Storage']"
173,Mashup_173,"project management, science, and storage integration platform enabling enhanced user experience.","['Project Management', 'Science', 'Storage']"
174,Mashup_174,"Mashup application that leverages legal, education, and collaboration APIs for enhanced user experience.","['Legal', 'Education', 'Collaboration']"
175,Mashup_175,A travel mashup that combines multiple services to provide automated processes.,['Travel']
176,Mashup_176,This mashup integrates science functionality for better data visualization.,['Science']
177,Mashup_177,Web application combining sports and news services to deliver real-time updates.,"['Sports', 'News']"
178,Mashup_178,location and education integration platform enabling improved productivity.,"['Location', 'Education']"
179,Mashup_179,Mashup application that leverages location and storage APIs for automated processes.,"['Location', 'Storage']"
180,Mashup_180,"A storage, news, and entertainment mashup that combines multiple services to provide real-time updates.","['Storage', 'News', 'Entertainment']"
181,Mashup_181,This mashup integrates storage and communication functionality for comprehensive functionality.,"['Storage', 'Communication']"
182,Mashup_182,"Web application combining search, photo, advertising, and storage services to deliver enhanced user experience.","['Search', 'Photo', 'Advertising', 'Storage']"
183,Mashup_183,storage integration platform enabling automated processes.,['Storage']
184,Mashup_184,Mashup application that leverages storage and food APIs for real-time updates.,"['Storage', 'Food']"
185,Mashup_185,A social mashup that combines multiple services to provide streamlined workflows.,['Social']
186,Mashup_186,"This mashup integrates storage, entertainment, and search functionality for real-time updates.","['Storage', 'Entertainment', 'Search']"
187,Mashup_187,Web application combining cloud services to deliver integrated data access.,['Cloud']
188,Mashup_188,food integration platform enabling improved productivity.,['Food']
189,Mashup_189,Mashup application that leverages tools and collaboration APIs for automated processes.,"['Tools', 'Collaboration']"
190,Mashup_190,A social and books mashup that combines multiple services to provide better data visualization.,"['Social', 'Books']"
191,Mashup_191,This mashup integrates marketing functionality for real-time updates.,['Marketing']
192,Mashup_192,Web application combining ecommerce services to deliver better data visualization.,['eCommerce']
193,Mashup_193,"ecommerce, food, storage, and science integration platform enabling real-time updates.","['eCommerce', 'Food', 'Storage', 'Science']"
194,Mashup_194,Mashup application that leverages health and storage APIs for real-time updates.,"['Health', 'Storage']"
195,Mashup_195,"A blogging, storage, and entertainment mashup that combines multiple services to provide streamlined workflows.","['Blogging', 'Storage', 'Entertainment']"
196,Mashup_196,This mashup integrates cloud and photo functionality for real-time updates.,"['Cloud', 'Photo']"
197,Mashup_197,Web application combining bookmark services to deliver comprehensive functionality.,['Bookmark']
198,Mashup_198,"tools, storage, entertainment, and search integration platform enabling automated processes.","['Tools', 'Storage', 'Entertainment', 'Search']"
199,Mashup_199,"Mashup application that leverages books, storage, and entertainment APIs for better data visualization.","['Books', 'Storage', 'Entertainment']"
200,Mashup_200,"A media, storage, entertainment, and science mashup that combines multiple services to provide better data visualization.","['Media', 'Storage', 'Entertainment', 'Science']"
201,Mashup_201,"This mashup integrates education, search, location, and news functionality for automated processes.","['Education', 'Search', 'Location', 'News']"
202,Mashup_202,"Web application combining storage, entertainment, and legal services to deliver better data visualization.","['Storage', 'Entertainment', 'Legal']"
203,Mashup_203,collaboration integration platform enabling better data visualization.,['Collaboration']
204,Mashup_204,Mashup application that leverages security and food APIs for better data visualization.,"['Security', 'Food']"
205,Mashup_205,A education mashup that combines multiple services to provide streamlined workflows.,['Education']
206,Mashup_206,This mashup integrates health and database functionality for automated processes.,"['Health', 'Database']"
207,Mashup_207,Web application combining collaboration services to deliver real-time updates.,['Collaboration']
208,Mashup_208,entertainment integration platform enabling real-time updates.,['Entertainment']
209,Mashup_209,"Mashup application that leverages education, tools, storage, and entertainment APIs for automated processes.","['Education', 'Tools', 'Storage', 'Entertainment']"
210,Mashup_210,A legal mashup that combines multiple services to provide streamlined workflows.,['Legal']
211,Mashup_211,"This mashup integrates payment, food, and storage functionality for better data visualization.","['Payment', 'Food', 'Storage']"
212,Mashup_212,Web application combining search and storage services to deliver better data visualization.,"['Search', 'Storage']"
213,Mashup_213,storage and advertising integration platform enabling better data visualization.,"['Storage', 'Advertising']"
214,Mashup_214,"Mashup application that leverages food, storage, search, and entertainment APIs for improved productivity.","['Food', 'Storage', 'Search', 'Entertainment']"
215,Mashup_215,"A search, food, storage, and analytics mashup that combines multiple services to provide better data visualization.","['Search', 'Food', 'Storage', 'Analytics']"
216,Mashup_216,This mashup integrates health and storage functionality for real-time updates.,"['Health', 'Storage']"
217,Mashup_217,"Web application combining communication, storage, and translation services to deliver improved productivity.","['Communication', 'Storage', 'Translation']"
218,Mashup_218,location integration platform enabling real-time updates.,['Location']
219,Mashup_219,Mashup application that leverages travel APIs for streamlined workflows.,['Travel']
220,Mashup_220,"A collaboration, health, communication, and books mashup that combines multiple services to provide enhanced user experience.","['Collaboration', 'Health', 'Communication', 'Books']"
221,Mashup_221,This mashup integrates storage and search functionality for automated processes.,"['Storage', 'Search']"
222,Mashup_222,Web application combining search and advertising services to deliver improved productivity.,"['Search', 'Advertising']"
223,Mashup_223,"food, photo, and advertising integration platform enabling improved productivity.","['Food', 'Photo', 'Advertising']"
224,Mashup_224,Mashup application that leverages project management APIs for automated processes.,['Project Management']
225,Mashup_225,A collaboration and photo mashup that combines multiple services to provide automated processes.,"['Collaboration', 'Photo']"
226,Mashup_226,This mashup integrates health and storage functionality for improved productivity.,"['Health', 'Storage']"
227,Mashup_227,"Web application combining social, storage, and entertainment services to deliver integrated data access.","['Social', 'Storage', 'Entertainment']"
228,Mashup_228,legal integration platform enabling automated processes.,['Legal']
229,Mashup_229,"Mashup application that leverages real estate, food, storage, and tools APIs for real-time updates.","['Real Estate', 'Food', 'Storage', 'Tools']"
230,Mashup_230,A storage mashup that combines multiple services to provide better data visualization.,['Storage']
231,Mashup_231,This mashup integrates sports functionality for real-time updates.,['Sports']
232,Mashup_232,Web application combining books and sports services to deliver improved productivity.,"['Books', 'Sports']"
233,Mashup_233,storage and entertainment integration platform enabling streamlined workflows.,"['Storage', 'Entertainment']"
234,Mashup_234,Mashup application that leverages health APIs for real-time updates.,['Health']
235,Mashup_235,A health mashup that combines multiple services to provide better data visualization.,['Health']
236,Mashup_236,"This mashup integrates project management, reference, and food functionality for real-time updates.","['Project Management', 'Reference', 'Food']"
237,Mashup_237,Web application combining advertising services to deliver enhanced user experience.,['Advertising']
238,Mashup_238,reference and books integration platform enabling enhanced user experience.,"['Reference', 'Books']"
239,Mashup_239,Mashup application that leverages analytics and sports APIs for automated processes.,"['Analytics', 'Sports']"
240,Mashup_240,A gaming and storage mashup that combines multiple services to provide automated processes.,"['Gaming', 'Storage']"
241,Mashup_241,This mashup integrates food and storage functionality for comprehensive functionality.,"['Food', 'Storage']"
242,Mashup_242,Web application combining food and project management services to deliver automated processes.,"['Food', 'Project Management']"
243,Mashup_243,"health, sports, food, and storage integration platform enabling better data visualization.","['Health', 'Sports', 'Food', 'Storage']"
244,Mashup_244,Mashup application that leverages legal APIs for better data visualization.,['Legal']
245,Mashup_245,"A art, storage, and entertainment mashup that combines multiple services to provide automated processes.","['Art', 'Storage', 'Entertainment']"
246,Mashup_246,This mashup integrates communication functionality for automated processes.,['Communication']
247,Mashup_247,Web application combining analytics services to deliver enhanced user experience.,['Analytics']
248,Mashup_248,project management and security integration platform enabling enhanced user experience.,"['Project Management', 'Security']"
249,Mashup_249,Mashup application that leverages gaming APIs for real-time updates.,['Gaming']
250,Mashup_250,A security mashup that combines multiple services to provide better data visualization.,['Security']
251,Mashup_251,"This mashup integrates project management, food, and storage functionality for automated processes.","['Project Management', 'Food', 'Storage']"
252,Mashup_252,Web application combining health services to deliver improved productivity.,['Health']
253,Mashup_253,photo and food integration platform enabling automated processes.,"['Photo', 'Food']"
254,Mashup_254,"Mashup application that leverages food, storage, news, and mapping APIs for improved productivity.","['Food', 'Storage', 'News', 'Mapping']"
255,Mashup_255,"A tools, storage, photo, and media mashup that combines multiple services to provide automated processes.","['Tools', 'Storage', 'Photo', 'Media']"
256,Mashup_256,This mashup integrates sports functionality for automated processes.,['Sports']
257,Mashup_257,Web application combining photo services to deliver better data visualization.,['Photo']
258,Mashup_258,marketing integration platform enabling automated processes.,['Marketing']
259,Mashup_259,"Mashup application that leverages storage, entertainment, search, and security APIs for better data visualization.","['Storage', 'Entertainment', 'Search', 'Security']"
260,Mashup_260,"A storage, food, and books mashup that combines multiple services to provide automated processes.","['Storage', 'Food', 'Books']"
261,Mashup_261,"This mashup integrates storage, food, and entertainment functionality for improved productivity.","['Storage', 'Food', 'Entertainment']"
262,Mashup_262,Web application combining storage services to deliver real-time updates.,['Storage']
263,Mashup_263,storage integration platform enabling better data visualization.,['Storage']
264,Mashup_264,"Mashup application that leverages location, food, and storage APIs for automated processes.","['Location', 'Food', 'Storage']"
265,Mashup_265,"A tools, collaboration, and reference mashup that combines multiple services to provide automated processes.","['Tools', 'Collaboration', 'Reference']"
266,Mashup_266,This mashup integrates blogging and education functionality for real-time updates.,"['Blogging', 'Education']"
267,Mashup_267,"Web application combining storage, entertainment, search, and books services to deliver real-time updates.","['Storage', 'Entertainment', 'Search', 'Books']"
268,Mashup_268,marketing and food integration platform enabling better data visualization.,"['Marketing', 'Food']"
269,Mashup_269,Mashup application that leverages government APIs for streamlined workflows.,['Government']
270,Mashup_270,"A health, storage, and food mashup that combines multiple services to provide better data visualization.","['Health', 'Storage', 'Food']"
271,Mashup_271,This mashup integrates sports functionality for streamlined workflows.,['Sports']
272,Mashup_272,Web application combining storage and entertainment services to deliver automated processes.,"['Storage', 'Entertainment']"
273,Mashup_273,"news, advertising, storage, and food integration platform enabling automated processes.","['News', 'Advertising', 'Storage', 'Food']"
274,Mashup_274,Mashup application that leverages education APIs for better data visualization.,['Education']
275,Mashup_275,A financial mashup that combines multiple services to provide comprehensive functionality.,['Financial']
276,Mashup_276,This mashup integrates storage functionality for streamlined workflows.,['Storage']
277,Mashup_277,Web application combining books and email services to deliver better data visualization.,"['Books', 'Email']"
278,Mashup_278,legal integration platform enabling better data visualization.,['Legal']
279,Mashup_279,Mashup application that leverages advertising and food APIs for automated processes.,"['Advertising', 'Food']"
280,Mashup_280,"A advertising, food, and storage mashup that combines multiple services to provide streamlined workflows.","['Advertising', 'Food', 'Storage']"
281,Mashup_281,This mashup integrates bookmark functionality for improved productivity.,['Bookmark']
282,Mashup_282,Web application combining storage and news services to deliver improved productivity.,"['Storage', 'News']"
283,Mashup_283,health integration platform enabling real-time updates.,['Health']
284,Mashup_284,Mashup application that leverages advertising and photo APIs for real-time updates.,"['Advertising', 'Photo']"
285,Mashup_285,"A sports, storage, entertainment, and books mashup that combines multiple services to provide better data visualization.","['Sports', 'Storage', 'Entertainment', 'Books']"
286,Mashup_286,"This mashup integrates food, tools, and storage functionality for automated processes.","['Food', 'Tools', 'Storage']"
287,Mashup_287,Web application combining education services to deliver enhanced user experience.,['Education']
288,Mashup_288,collaboration and communication integration platform enabling better data visualization.,"['Collaboration', 'Communication']"
289,Mashup_289,Mashup application that leverages advertising APIs for enhanced user experience.,['Advertising']
290,Mashup_290,A health mashup that combines multiple services to provide real-time updates.,['Health']
291,Mashup_291,"This mashup integrates location, education, and storage functionality for better data visualization.","['Location', 'Education', 'Storage']"
292,Mashup_292,Web application combining food and storage services to deliver improved productivity.,"['Food', 'Storage']"
293,Mashup_293,food integration platform enabling seamless service coordination.,['Food']
294,Mashup_294,"Mashup application that leverages storage, tools, and entertainment APIs for automated processes.","['Storage', 'Tools', 'Entertainment']"
295,Mashup_295,A ecommerce and food mashup that combines multiple services to provide improved productivity.,"['eCommerce', 'Food']"
296,Mashup_296,This mashup integrates health and search functionality for better data visualization.,"['Health', 'Search']"
297,Mashup_297,Web application combining ecommerce services to deliver automated processes.,['eCommerce']
298,Mashup_298,ecommerce integration platform enabling automated processes.,['eCommerce']
299,Mashup_299,"Mashup application that leverages food, storage, and tools APIs for real-time updates.","['Food', 'Storage', 'Tools']"
300,Mashup_300,"A project management, government, food, and storage mashup that combines multiple services to provide real-time updates.","['Project Management', 'Government', 'Food', 'Storage']"
301,Mashup_301,This mashup integrates search and science functionality for improved productivity.,"['Search', 'Science']"
302,Mashup_302,"Web application combining project management, government, and science services to deliver real-time updates.","['Project Management', 'Government', 'Science']"
303,Mashup_303,payment and food integration platform enabling real-time updates.,"['Payment', 'Food']"
304,Mashup_304,Mashup application that leverages storage APIs for enhanced user experience.,['Storage']
305,Mashup_305,A entertainment mashup that combines multiple services to provide real-time updates.,['Entertainment']
